Special,Burgers,Hotdogs,Plates & Salads,Sandwiches,Shakes & Drinks,Sides
Mon-BaCB+1/2FF+D,SMHB,Hot Dog,HambSTK Plate,BLT,Milkshake,FF
Tue-SMHB+1/2FF+D,LGHB,Slaw Dog,Chicken Salad,Grilled Cheese,Soft Drink,1/2 FF
Wed-DCB+1/2FF+D,DHB,CHZDOG,Side Salad,CHPSTK,Tea,1/2 Onion Rings
Thu-LGCB+1/2FF+D,SMCB,CHZ Slaw Dog,Extra Dressing,Veggie Sandwich,Coffee,Onion Ring
Fri-LGCB+1/2FF+D,LGCB,Chili Dog,,,Hot Chocolate,CHZFF
Make a Meal-1/2FF+D,DCB,Chili Slaw Dog,,,Whole Milk,ChiliCHZFF
Make a Meal - 1/2 OnionRing+D,BaHB,ChiliCHZDOG,,,Bottled Water,Chips
,DBaHB,Loaded Dog,,,Bottle Drink,Side of Bacon
,BaCB,,,,,Side Of Grilled Onions
,DBaCB,,,,,Side Of Cheese
,Grilled Chicken Burger,,,,,Side Of Slaw
,Texas BBQ Burger,,,,,SM Side Of Chili
,Georgia Peach Burger,,,,,LG Side Of Chili
,,,,,,Extra Dressing
,,,,,,Ice Cream
,,,,,,BBQ Sauce
