Clover ID,POS Name ,Real Name,Price,Tax Rates,Modifier Groups,Description
BW89XJHMXSW1T,Bottled Water,Bottled Water,1.99,DEFAULT,,
GT87TS3M3C66T,Grilled Cheese,Grilled Cheese,4.99,DEFAULT,"Bread Choice, Grilled cheese add, Make a Meal",
GA179SH9Q5Z5C,Tea,Tea,2.99,DEFAULT,"Tea Choice, Tea Size",
HVG5WEA2ESX7P,Coffee,Coffee,2.99,DEFAULT,,
HDJBYGJGHMAVP,Bottle Drink,Bottle Drink,3.29,DEFAULT,,
KZVGZCPEHKQAJ,Veggie Sandwich,Veggie Sandwich,5.5,DEFAULT,"Add on, Make a Meal, Extras",
QW1GJ8MXKKCGC,Georgia Peach Burger,GPB,8.99,DEFAULT,"Add on, Make a Meal, Extras",
CXPVV260XB10M,Chips,Chips,1.99,DEFAULT,,
GA29YTGQ5VVF8,BaHB,Bacon HamBurger,8.99,DEFAULT,"Add on, Make a Meal, Extras",
A5BZVG33R0VTG,Chicken Salad,Chicken Salad,9.99,DEFAULT,Salad Dressing,
WCDZ5NBDN8G7T,Chili Slaw Dog,Chili Slaw Dog,5.69,DEFAULT,"Add on, Make a Meal",
PY8TP09TFRFGJ,ChiliCHZDOG,Chili Cheese Dog,5.69,DEFAULT,Make a Meal,
DVS2PTESD2KDP,ChiliCHZFF,Chili Cheese Fries,7.49,DEFAULT,,
EVT5RTKF7X8S8,CHZ Slaw Dog,Cheese Slaw Dog,5.69,DEFAULT,"Add on, Make a Meal",
PBEA4GCH7F4AG,HambSTK Plate,Hamburger Steak Plate,15.99,DEFAULT,Hamburger Steak Add,
243AWRQX2QC3R,Loaded Dog,Loaded Dog,6.29,DEFAULT,"Add on, Make a Meal",
8VPHBDX2BT8Z0,Make a Meal-1/2FF+D,Make a Meal-1/2FF+D,4.99,DEFAULT,Soft Drink,
TKPCFVJHDJYVP,Side of Bacon,Side of Bacon,2.99,DEFAULT,,
S4XGWTG57V05G,Texas BBQ Burger,Texas BBQ Burger,9.49,DEFAULT,"Add on, Make a Meal, Extras",
0PCH09FQXVVN2,Whole Milk,Whole Milk,2.99,DEFAULT,,
G29R9ZJD086PY,CHPSTK,,6.99,DEFAULT,"Add on, Make a Meal, Extras",
GDW9753CGJGTM,Side Salad,Side Salad,4.99,DEFAULT,Salad Dressing,
9ZH75XPV2VYWE,FF,Full size French Fries,5.99,DEFAULT,,
R3YM8HB5V9NXR,Extra Dressing,Extra Dressing,1,DEFAULT,Salad Dressing,
72QK2VSQ1AE92,LG Side Of Chili,LG Side Of Chili,3.29,DEFAULT,,
EVVXE2760H270,SM Side Of Chili,SM Side Of Chili,1,DEFAULT,,
H2EBXM0WQ944P,Side Of Cheese,Side Of Cheese,1,DEFAULT,,
1W2PY886QXDGJ,Onion Ring,Onion Ring,5.99,DEFAULT,,
7MSVP5Y97E5HW,Side Of Slaw,Side Of Slaw,0,DEFAULT,Slaw,
ZBXRBARST25YR,Chili Dog,Chili Dog,4.79,DEFAULT,"Add on, Make a Meal",
JATNA9XDA7998,CHZDOG,cheese dog,4.79,DEFAULT,"Add on, Make a Meal",
5T70CERFB1QGE,Hot Dog,Hot Dog,3.79,DEFAULT,"Add on, Make a Meal",
VPY958GAAHFKY,Slaw Dog,Slaw Dog,4.79,DEFAULT,"Add on, Make a Meal",
ZVDFKVHEKP0B4,Make a Meal - 1/2 OnionRing+D,Make a Meal - 1/2 OnionRing+D,4.99,DEFAULT,Soft Drink,
Q339PA3ZV235T,Grilled Chicken Burger,Grilled Chicken Burger,7.49,DEFAULT,"Add on, Make a Meal",
ZGE6TKS1N9WHY,SMHB,Small HamBurger,6.49,DEFAULT,"Add on, Make a Meal, Extras",
N2B85Z9GZ8BHG,SMCB,Samll CheeseBuger,6.99,DEFAULT,"Add on, Make a Meal, Extras",
F46F7CNDDB9QY,LGHB,Large HamBurger,7.99,DEFAULT,"Add on, Make a Meal, Extras",
YY7CMHS5C8C9Y,LGCB,Large CheeseBurger,8.49,DEFAULT,"Add on, Make a Meal, Extras",
MESYB1GH100ZT,DBaHB,Double Bacon HamBurger,11.99,DEFAULT,"Add on, Make a Meal, Extras",
2YSRER7F8ZX62,DHB,Double HamBurger,9.99,DEFAULT,"Add on, Make a Meal, Extras",
7JJXHQDVK5768,Mon-BaCB+1/2FF+D,Monday Special ,12.99,DEFAULT,"Add on, Make a Meal, Extras",Bacon Cheeseburger + 1/2 Fries & Drink
PSM5YB5RE1MZ8,Tue-SMHB+1/2FF+D,Tuesday Special,10.99,DEFAULT,"Add on, Make a Meal, Extras",Small Hamburger + 1/2 Fries & Drink
4KZTYDTK6ESX4,Wed-DCB+1/2FF+D,Wednesday Special,13.99,DEFAULT,"Add on, Make a Meal, Extras",Double Cheeseburger + 1/2 Fries & Drink
ET1JEZ5CV4EJT,BaCB,Bacon CheeseBurger,9.99,DEFAULT,"Add on, Make a Meal, Extras",
GED49PYV0DSYE,DBaCB,Double Bacon CheeseBurger,13.99,DEFAULT,"Add on, Make a Meal, Extras",
XQZH114ZBCHPE,CHZFF,Cheese Fries,6.99,DEFAULT,,
G899H8Z9Q0F1G,Soft Drink,Soft Drink,2.99,DEFAULT,Soft Drink,
HTKFBTQFYS1W0,Grilled Onions,Grilled Onions,0.99,DEFAULT,,
45VHHW530CHPE,Milkshake,Milkshake,0,DEFAULT,"Shake Size, Shake Flavor",
8J9FBH52CE86T,1/2 FF,Half Size French Fries,3.99,DEFAULT,,
T366ZPBNF7P8Y,BLT,BLT Sandwich,9.99,DEFAULT,"Bread Choice, Extras",
JPNPD1AKM8YT2,DCB,Double CheeseBurger,10.99,DEFAULT,"Add on, Make a Meal, Extras",
ZJ9878GJ59FGY,Fri-LGCB+1/2FF+D,Friday Special,11.99,DEFAULT,"Add on, Make a Meal, Extras",Large Cheeseburger + 1/2 Fries & Drink
6SMX6EWFQ563R,BBQ Sauce,Barbacue Saurce,0.49,DEFAULT,,
FKT4PBG416C36,Thu-LGCB+1/2FF+D,Thursday Special,11.99,DEFAULT,"Add on, Make a Meal, Extras",Large Cheeseburger + 1/2 Fries & Drink
5Y7GEB5AWRCD2,1/2 Onion Rings,Half Size Onion Rings,3.99,DEFAULT,,
